State,District,Subdistt,Town/Village,Ward,Ward_Alphabet,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
27,519,99999,802794,0101,A,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0101,Urban,21985,92528,51198,41330,11327,6034,5293,4993,2582,2411,862,480,382,70028,40812,29216,22500,10386,12114,41142,31698,9444,38942,30460,8482,95,74,21,108,88,20,564,388,176,38175,29910,8265,2200,1238,962,48,18,30,11,7,4,63,28,35,2078,1185,893,1975,1109,866,48,18,30,10,7,3,56,26,30,1861,1058,803,225,129,96,0,0,0,1,0,1,7,2,5,217,127,90,51386,19500,31886
27,519,99999,802794,0102,A,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0102,Urban,7787,32450,16739,15711,2472,1252,1220,2699,1280,1419,1085,535,550,27275,14538,12737,5175,2201,2974,14497,10175,4322,13687,9726,3961,35,29,6,29,19,10,129,77,52,13494,9601,3893,810,449,361,10,4,6,1,1,0,32,8,24,767,436,331,758,422,336,10,4,6,1,1,0,25,8,17,722,409,313,52,27,25,0,0,0,0,0,0,7,0,7,45,27,18,17953,6564,11389
27,519,99999,802794,0103,A,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0103,Urban,5618,23963,13289,10674,2083,1093,990,1630,848,782,997,522,475,18600,10754,7846,5363,2535,2828,12024,8600,3424,10589,7739,2850,32,22,10,24,17,7,150,103,47,10383,7597,2786,1435,861,574,5,3,2,4,4,0,34,16,18,1392,838,554,1274,759,515,4,3,1,4,4,0,31,15,16,1235,737,498,161,102,59,1,0,1,0,0,0,3,1,2,157,101,56,11939,4689,7250
27,519,99999,802794,0104,A,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0104,Urban,2925,12402,7165,5237,838,451,387,217,127,90,80,51,29,10698,6239,4459,1704,926,778,5627,4763,864,5345,4546,799,118,94,24,11,8,3,68,41,27,5148,4403,745,282,217,65,15,13,2,2,1,1,10,6,4,255,197,58,255,198,57,14,12,2,2,1,1,6,2,4,233,183,50,27,19,8,1,1,0,0,0,0,4,4,0,22,14,8,6775,2402,4373
27,519,99999,802794,0105,A,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0105,Urban,5551,23671,12836,10835,1563,779,784,4095,2000,2095,169,87,82,19634,10748,8886,4037,2088,1949,10470,8220,2250,9845,7741,2104,27,6,21,23,15,8,54,24,30,9741,7696,2045,625,479,146,9,4,5,5,3,2,17,7,10,594,465,129,536,406,130,9,4,5,5,3,2,15,5,10,507,394,113,89,73,16,0,0,0,0,0,0,2,2,0,87,71,16,13201,4616,8585
27,519,99999,802794,0206,B,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0206,Urban,5802,26794,15540,11254,2745,1465,1280,501,300,201,274,136,138,19831,11855,7976,6963,3685,3278,11670,10100,1570,10855,9535,1320,9,7,2,16,11,5,438,291,147,10392,9226,1166,815,565,250,8,5,3,3,3,0,58,33,25,746,524,222,612,414,198,8,5,3,3,3,0,36,23,13,565,383,182,203,151,52,0,0,0,0,0,0,22,10,12,181,141,40,15124,5440,9684
27,519,99999,802794,0207,B,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0207,Urban,3223,14451,8311,6140,1215,609,606,11,11,0,35,28,7,12188,7040,5148,2263,1271,992,5988,5432,556,5896,5377,519,5,3,2,13,10,3,217,176,41,5661,5188,473,92,55,37,1,1,0,1,0,1,6,0,6,84,54,30,84,48,36,1,1,0,1,0,1,5,0,5,77,47,30,8,7,1,0,0,0,0,0,0,1,0,1,7,7,0,8463,2879,5584
27,519,99999,802794,0208,B,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0208,Urban,11440,55886,30270,25616,5590,2966,2624,1539,750,789,93,64,29,46205,25239,20966,9681,5031,4650,19930,17366,2564,18994,16818,2176,42,30,12,33,25,8,565,455,110,18354,16308,2046,936,548,388,13,7,6,17,11,6,52,16,36,854,514,340,799,452,347,12,7,5,13,7,6,42,13,29,732,425,307,137,96,41,1,0,1,4,4,0,10,3,7,122,89,33,35956,12904,23052
27,519,99999,802794,0209,B,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0209,Urban,6675,30159,16324,13835,2721,1394,1327,3287,1587,1700,687,432,255,23224,12943,10281,6935,3381,3554,12630,10084,2546,11852,9586,2266,21,13,8,26,16,10,268,158,110,11537,9399,2138,778,498,280,7,7,0,2,1,1,44,14,30,725,476,249,588,376,212,5,5,0,1,1,0,34,10,24,548,360,188,190,122,68,2,2,0,1,0,1,10,4,6,177,116,61,17529,6240,11289
27,519,99999,802794,0310,C,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0310,Urban,5097,23703,13425,10278,1934,976,958,129,63,66,36,24,12,19268,10750,8518,4435,2675,1760,9784,8667,1117,9351,8387,964,18,13,5,18,15,3,263,197,66,9052,8162,890,433,280,153,12,8,4,5,3,2,22,6,16,394,263,131,368,235,133,10,7,3,4,2,2,18,6,12,336,220,116,65,45,20,2,1,1,1,1,0,4,0,4,58,43,15,13919,4758,9161
